N	trait_mean	trait_var	year
108	11207.407407407407	41509851.1595708	1940
39	11056.410256410256	20626207.827260457	1941
124	11742.741935483871	18492060.713349078	1942
96	11522.916666666666	16797153.508771937	1943
84	12807.142857142857	13268864.027538722	1944
75	13466.666666666666	33116306.306306317	1945
36	10733.333333333334	30269142.85714286	1946
53	10939.622641509433	22813207.547169812	1947
54	12435.185185185184	19830248.07826694	1948
48	11135.416666666666	22167442.375886526	1949
72	10472.222222222223	23958935.8372457	1950
26	14311.538461538461	9490661.538461538	1951
44	12927.272727272728	14116448.202959828	1952
41	11317.073170731708	10065451.219512198	1953
70	7497.142857142857	26297962.732919253	1954
39	8725.641025641025	19299325.236167345	1955
38	8844.736842105263	19230647.22617354	1956
43	8404.651162790698	13344263.565891473	1957
82	7658.536585365854	18126407.708521523	1966
111	7786.486486486487	21624270.270270288	1967
118	4608.474576271186	17210354.918151513	1968
151	2431.7880794701987	5937916.11479029	1969
90	5120	11643640.449438203	1970
122	4919.672131147541	15829692.453597078	1971
185	3982.7027027027025	9698394.82961222	1972
213	4621.12676056338	12159598.724421997	1973
157	4776.4331210191085	16682453.862485714	1974
112	4966.964285714285	14520790.701415705	1975
138	5139.130434782609	15699333.544906368	1976
66	4128.787878787879	13538389.277389277	1977
70	1882.857142857143	2495933.7474120073	1978
51	2456.8627450980393	6745701.960784317	1979
28	5657.142857142857	17004761.904761903	1980
59	7279.661016949152	20459234.36586792	1981
17	8088.235294117647	14137352.94117647	1982
87	5968.9655172413795	15984258.219727358	1983
39	7364.102564102564	12780256.41025641	1984
69	3246.376811594203	14575758.738277923	1985
37	3527.027027027027	11269804.80480481	1986
118	5820.338983050848	16440437.49094598	1987
55	4216.054545454545	16944787.274747476	1988
160	5798.46875	14789976.414111635	1989
90	4183.333333333333	7391123.595505617	1990
39	4887.179487179487	12679173.414304998	1991
48	5115.625	16120442.15425532	1992
7	4242.857142857143	11852857.142857144	1993
111	2557.2072072072074	2915629.4021294015	1994
70	3481.4285714285716	3910592.1325051743	1995
40	6385.25	13718702.5	1996
55	4012.181818181818	12284921.07744108	1997
51	2771.5686274509803	3229025.4901960786	1998
94	3715.744680851064	9615598.90185312	1999
115	3215.608695652174	3295779.0122044245	2000
131	4304.923664122138	4901126.147974163	2001
106	2971.8396226415093	3323563.4883198566	2002
246	2920.20325203252	3034993.223826118	2003
205	3903.10243902439	6150182.612003827	2004
152	3991.6118421052633	8407553.179461487	2005
249	3916.9477911646586	5362022.098069699	2006
245	3581.4285714285716	5514049.180327873	2007
598	4602.173913043478	3811226.421964898	2008
255	4776.470588235294	10253198.517832324	2009
361	3926.858725761773	6789116.427208383	2010
408	4810.382352941177	4415391.538950714	2011
311	5122.498392282958	9954556.863707101	2012
159	5024.213836477988	5677147.321073159	2013
201	3156.9651741293533	4355209.243781096	2014
277	4439.3357400722025	5031063.491942658	2015
191	5538.376963350785	6755062.088729679	2016
