"#Theriot et al. 2006; diameter"			
N	trait_mean	trait_var	age_MY
50	49.349	77	0
50	45.167	41.38	0.00032226
50	47.882	74.51	0.000580068
50	46.293	60.45	0.000837876
50	46	57.96	0.001095684
50	43.224	33.78	0.001353492
50	46.837	27.77	0.0016113
50	46.139	35.34	0.001804656
50	42.236	67.52	0.002062464
50	49.487	55.01	0.002320272
50	44.705	109.29	0.00257808
50	41.727	47.33	0.002835888
50	45.908	35.41	0.003093696
50	41.311	52.79	0.003415956
50	44.165	73.89	0.003673764
50	44.195	87.44	0.003931572
50	46.232	49.76	0.003996024
50	46.201	89.38	0.004253832
50	43.424	34.05	0.00451164
50	47.034	72.57	0.004769448
50	45.985	86.03	0.005027256
50	43.872	80.8	0.005285064
56	46.98	19.86	0.005542872
50	47.126	21.76	0.005671776
50	46.71	72.66	0.005929584
50	46.216	41.93	0.006187392
50	49.718	43.27	0.0064452
50	52.479	72.06	0.006703008
50	47.959	32.36	0.006960816
50	51.893	86.47	0.007218624
50	51.615	54.39	0.007476432
50	53.019	32.09	0.00773424
50	57.848	72.57	0.007992048
50	56.747	36.93	0.008249856
50	55.888	72.49	0.008507664
50	50.196	32.65	0.008765472
50	53.698	26.25	0.008958828
50	56.721	30.06	0.009216636
50	52.063	17.1	0.009474444
50	61.579	52.16	0.009732252
25	59.49	46.06	0.009796704
25	61.292	37.38	0.009861156
25	61.45	30.88	0.009925608
50	61.047	28.06	0.00999006
25	64.34	47.27	0.010118964
25	61.979	39.14	0.010183416
50	54.675	45.74	0.010247868
50	54.886	54.38	0.010441224
50	58.573	52.72	0.010699032
50	52.387	37.1	0.01095684
50	54.608	62.55	0.011214648
25	51.255	48.99	0.011343552
50	50.652	31.02	0.011472456
50	51.477	41.34	0.011730264
23	45.86	67.82	0.011859168
42	39.465	26.43	0.012181428
42	41.834	32.9	0.012310332
20	40.532	42.61	0.012439236
27	43.637	63.6	0.012954852
8	39.336	53.88	0.01321266
50	42.56	34.3	0.013470468
25	37.006	42.45	0.013599372
11	42.755	42.21	0.013728276
