"#Hunt et al. 2025; solar insolation june"			
N	trait_mean	trait_var	age_MY
1	486.027491	0.00000001	0
1	485.977011	0.00000001	0.0001
1	485.940383	0.00000001	0.0002
1	485.917918	0.00000001	0.0003
1	485.909932	0.00000001	0.0004
1	485.91675	0.00000001	0.0005
1	485.93869	0.00000001	0.0006
1	485.976064	0.00000001	0.0007
1	486.029165	0.00000001	0.0008
1	486.098259	0.00000001	0.0009
1	486.183574	0.00000001	0.001
1	486.287275	0.00000001	0.0011
1	486.407375	0.00000001	0.0012
1	486.543776	0.00000001	0.0013
1	486.696327	0.00000001	0.0014
1	486.864835	0.00000001	0.0015
1	487.049067	0.00000001	0.0016
1	487.248758	0.00000001	0.0017
1	487.463624	0.00000001	0.0018
1	487.693363	0.00000001	0.0019
1	487.937668	0.00000001	0.002
1	488.195623	0.00000001	0.0021
1	488.467651	0.00000001	0.0022
1	488.753504	0.00000001	0.0023
1	489.052929	0.00000001	0.0024
1	489.365677	0.00000001	0.0025
1	489.691504	0.00000001	0.0026
1	490.030172	0.00000001	0.0027
1	490.381452	0.00000001	0.0028
1	490.745131	0.00000001	0.0029
1	491.121007	0.00000001	0.003
1	491.506903	0.00000001	0.0031
1	491.904753	0.00000001	0.0032
1	492.314592	0.00000001	0.0033
1	492.736468	0.00000001	0.0034
1	493.170426	0.00000001	0.0035
1	493.616499	0.00000001	0.0036
1	494.074694	0.00000001	0.0037
1	494.544974	0.00000001	0.0038
1	495.027247	0.00000001	0.0039
1	495.521353	0.00000001	0.004
1	496.030596	0.00000001	0.0041
1	496.550763	0.00000001	0.0042
1	497.081155	0.00000001	0.0043
1	497.621022	0.00000001	0.0044
1	498.169579	0.00000001	0.0045
1	498.726025	0.00000001	0.0046
1	499.28956	0.00000001	0.0047
1	499.859402	0.00000001	0.0048
1	500.434802	0.00000001	0.0049
1	501.015057	0.00000001	0.005
1	501.596942	0.00000001	0.0051
1	502.182875	0.00000001	0.0052
1	502.772508	0.00000001	0.0053
1	503.365504	0.00000001	0.0054
1	503.961526	0.00000001	0.0055
1	504.560225	0.00000001	0.0056
1	505.161239	0.00000001	0.0057
1	505.764184	0.00000001	0.0058
1	506.368648	0.00000001	0.0059
1	506.974196	0.00000001	0.006
1	507.580329	0.00000001	0.0061
1	508.186352	0.00000001	0.0062
1	508.791817	0.00000001	0.0063
1	509.396305	0.00000001	0.0064
1	509.999421	0.00000001	0.0065
1	510.600798	0.00000001	0.0066
1	511.200085	0.00000001	0.0067
1	511.796948	0.00000001	0.0068
1	512.391058	0.00000001	0.0069
1	512.982085	0.00000001	0.007
1	513.571535	0.00000001	0.0071
1	514.157189	0.00000001	0.0072
1	514.73846	0.00000001	0.0073
1	515.314714	0.00000001	0.0074
1	515.885268	0.00000001	0.0075
1	516.449402	0.00000001	0.0076
1	517.00636	0.00000001	0.0077
1	517.555369	0.00000001	0.0078
1	518.09564	0.00000001	0.0079
1	518.626388	0.00000001	0.008
1	519.14582	0.00000001	0.0081
1	519.654264	0.00000001	0.0082
1	520.151098	0.00000001	0.0083
1	520.635742	0.00000001	0.0084
1	521.107671	0.00000001	0.0085
1	521.566414	0.00000001	0.0086
1	522.011562	0.00000001	0.0087
1	522.442769	0.00000001	0.0088
1	522.859751	0.00000001	0.0089
1	523.262286	0.00000001	0.009
1	523.648365	0.00000001	0.0091
1	524.019892	0.00000001	0.0092
1	524.376957	0.00000001	0.0093
1	524.719665	0.00000001	0.0094
1	525.048119	0.00000001	0.0095
1	525.362399	0.00000001	0.0096
1	525.662544	0.00000001	0.0097
1	525.948538	0.00000001	0.0098
1	526.220297	0.00000001	0.0099
1	526.477654	0.00000001	0.01
1	526.724567	0.00000001	0.0101
1	526.956043	0.00000001	0.0102
1	527.171337	0.00000001	0.0103
1	527.36968	0.00000001	0.0104
1	527.55031	0.00000001	0.0105
1	527.712492	0.00000001	0.0106
1	527.855547	0.00000001	0.0107
1	527.978873	0.00000001	0.0108
1	528.081963	0.00000001	0.0109
1	528.164421	0.00000001	0.011
1	528.221896	0.00000001	0.0111
1	528.258831	0.00000001	0.0112
1	528.275483	0.00000001	0.0113
1	528.272163	0.00000001	0.0114
1	528.249218	0.00000001	0.0115
1	528.20701	0.00000001	0.0116
1	528.145902	0.00000001	0.0117
1	528.066246	0.00000001	0.0118
1	527.968366	0.00000001	0.0119
1	527.852553	0.00000001	0.012
1	527.720858	0.00000001	0.0121
1	527.571357	0.00000001	0.0122
1	527.404118	0.00000001	0.0123
1	527.219216	0.00000001	0.0124
1	527.01674	0.00000001	0.0125
1	526.796796	0.00000001	0.0126
1	526.559508	0.00000001	0.0127
1	526.305024	0.00000001	0.0128
1	526.033515	0.00000001	0.0129
1	525.745168	0.00000001	0.013
1	525.440705	0.00000001	0.0131
1	525.11989	0.00000001	0.0132
1	524.782882	0.00000001	0.0133
1	524.42983	0.00000001	0.0134
1	524.060882	0.00000001	0.0135
1	523.676186	0.00000001	0.0136
1	523.275894	0.00000001	0.0137
1	522.86017	0.00000001	0.0138
