"#Theriot et al. 2006; Pinus contortus pollen data"			
N	trait_mean	trait_var	age_MY
1	2.106426633	0.00000001	0
1	0.744224126	0.00000001	0.00017055
1	2.023321061	0.00000001	0.000416262
1	0.113812065	0.00000001	0.000681558
1	0.404737712	0.00000001	0.000920004
1	2.708020731	0.00000001	0.001032435
1	3.963209885	0.00000001	0.001488417
1	14.16549325	0.00000001	0.001644019
1	17.8395231	0.00000001	0.001904221
1	23.95739372	0.00000001	0.002158129
1	31.76332521	0.00000001	0.002251578
1	46.32097958	0.00000001	0.002677743
1	39.24229585	0.00000001	0.002999392
1	38.86926504	0.00000001	0.003256612
1	43.57399386	0.00000001	0.003452989
1	40.43994095	0.00000001	0.003694609
1	42.56068979	0.00000001	0.003962466
1	48.16018418	0.00000001	0.004222027
1	46.30780069	0.00000001	0.004472247
1	43.5259435	0.00000001	0.004732209
1	39.09312231	0.00000001	0.004924166
1	51.94206446	0.00000001	0.00518889
1	47.16738854	0.00000001	0.00544539
1	45.86754839	0.00000001	0.005699607
1	43.81670582	0.00000001	0.005957902
1	45.994866	0.00000001	0.006209912
1	45.64976504	0.00000001	0.006478247
1	53.60362465	0.00000001	0.006666147
1	47.66695092	0.00000001	0.006931048
1	40.30121048	0.00000001	0.007185319
1	56.08868644	0.00000001	0.007247907
1	46.3516044	0.00000001	0.007441516
1	58.07399188	0.00000001	0.007509362
1	62.53733581	0.00000001	0.0077653
1	53.50527813	0.00000001	0.007960708
1	68.60305235	0.00000001	0.008021343
1	58.83853047	0.00000001	0.008155355
1	63.19746416	0.00000001	0.008407006
1	48.25232407	0.00000001	0.008662176
1	50.874728	0.00000001	0.008919807
1	52.29473997	0.00000001	0.009181456
1	53.38163549	0.00000001	0.009429614
1	57.08427914	0.00000001	0.009705941
1	57.08427914	0.00000001	0.009929545
1	57.8724601	0.00000001	0.010173148
1	48.82809123	0.00000001	0.01043382
1	46.21744724	0.00000001	0.010692172
1	53.69392706	0.00000001	0.010959755
1	56.32562051	0.00000001	0.011211407
1	52.98183858	0.00000001	0.011467722
1	41.90041853	0.00000001	0.011725545
1	54.36097662	0.00000001	0.011982196
1	48.2868995	0.00000001	0.012173622
1	63.1855409	0.00000001	0.012434596
1	52.53545111	0.00000001	0.012695882
1	57.89953245	0.00000001	0.01295525
1	50.17485883	0.00000001	0.01320981
1	49.79125225	0.00000001	0.013473729
