"#Theriot et al. 2006; ribs"			
N	trait_mean	trait_var	age_MY
50	69.08	199.06	0
50	68.36	164.4	0.00032226
50	72.6	264.42	0.000580068
50	70.18	251.57	0.000837876
50	73.08	226.47	0.001095684
50	64.2	115.93	0.001353492
50	74.49	194.1	0.0016113
50	74.88	129.5	0.001804656
50	64.74	232.23	0.002062464
50	79.18	222.31	0.002320272
50	70.3	358.95	0.00257808
50	63.64	152.6	0.002835888
50	69.14	112.08	0.003093696
50	64.56	210.22	0.003415956
50	66.06	215.44	0.003673764
50	67.06	327.72	0.003931572
50	70.34	180.61	0.003996024
50	69.843	255.2	0.004253832
50	66.08	123.74	0.00451164
50	72.92	267.42	0.004769448
50	68.46	339.22	0.005027256
50	67.76	265.89	0.005285064
56	74.5	96.86	0.005542872
50	71.44	108.91	0.005671776
50	70.52	225.57	0.005929584
50	69.569	154.18	0.006187392
50	76.2	150.09	0.0064452
50	78.32	277.56	0.006703008
50	72.18	109.83	0.006960816
50	80.36	249.73	0.007218624
50	79.32	235.9	0.007476432
50	76.72	146.58	0.00773424
50	86.08	257.92	0.007992048
50	83.588	165.41	0.008249856
50	82.078	219.42	0.008507664
50	70.1	110.94	0.008765472
50	79.44	118.2	0.008958828
50	88.92	184.2	0.009216636
50	80.16	187.03	0.009474444
50	91.882	276.29	0.009732252
25	89.04	266.21	0.009796704
25	90.6	251.67	0.009861156
25	93.8	184.91	0.009925608
50	95.804	166.72	0.00999006
25	102.16	253.54	0.010118964
25	97.52	248.91	0.010183416
50	85.059	216.09	0.010247868
50	85.88	256.61	0.010441224
50	91.04	284.87	0.010699032
50	82.84	255.81	0.01095684
50	94.9	280.09	0.011214648
25	77.76	204.12	0.011343552
50	79.176	151.19	0.011472456
50	72.66	169.44	0.011730264
23	69.217	381.07	0.011859168
42	49.857	95.2	0.012181428
42	49.571	108.45	0.012310332
20	54.5	115.41	0.012439236
27	58.172	229.28	0.012954852
8	52.375	143.69	0.01321266
50	61.4	134.33	0.013470468
25	48.88	112.11	0.013599372
11	57.333	112.42	0.013728276
