"#Theriot et al. 2006; spines"			
N	trait_mean	trait_var	age_MY
50	18.54	10.5	0
50	17.62	5.75	0.00032226
50	17.98	7.12	0.000580068
50	19.2	10.98	0.000837876
50	18.96	8.4	0.001095684
50	17.24	4.15	0.001353492
50	19.02	7.14	0.0016113
50	18.78	5.6	0.001804656
50	17.16	9.81	0.002062464
50	19.46	10.54	0.002320272
50	18.28	11.76	0.00257808
50	17.48	4.79	0.002835888
50	18.54	6.42	0.003093696
50	16.7	7.44	0.003415956
50	18.26	8.12	0.003673764
50	18.32	11.4	0.003931572
50	19.04	9.3	0.003996024
50	18.471	7.38	0.004253832
50	18.3	7.48	0.00451164
50	19.92	7.91	0.004769448
50	19.54	12.25	0.005027256
50	19.1	11.85	0.005285064
56	20.054	5.29	0.005542872
50	19.48	4.7	0.005671776
50	18.04	8.81	0.005929584
50	19.529	10.06	0.006187392
50	20.34	6.27	0.0064452
50	20.72	8.16	0.006703008
50	19.88	4.92	0.006960816
50	21.68	13.45	0.007218624
50	21.66	9.41	0.007476432
50	23.28	9.14	0.00773424
50	25.36	14.44	0.007992048
50	24.333	10.59	0.008249856
50	25.51	18.38	0.008507664
50	22.5	9.85	0.008765472
50	22.8	7.92	0.008958828
50	23	6.08	0.009216636
50	21.44	8.13	0.009474444
50	22.98	12.62	0.009732252
25	21.28	10.63	0.009796704
25	21.16	9.64	0.009861156
25	22	11.25	0.009925608
50	24.314	8.9	0.00999006
25	23.24	4.94	0.010118964
25	23.12	12.36	0.010183416
50	22.353	17.11	0.010247868
50	23.02	15.86	0.010441224
50	25.9	23.36	0.010699032
50	27.18	18.28	0.01095684
50	31.32	19.98	0.011214648
25	29.08	19.32	0.011343552
50	29.333	13.7	0.011472456
50	29.48	19.93	0.011730264
23	26.304	21.32	0.011859168
42	22.69	13.39	0.012181428
42	23.31	12.46	0.012310332
20	22.65	18.45	0.012439236
27	25.31	25.15	0.012954852
8	23.375	22.84	0.01321266
50	26.08	17.02	0.013470468
25	22.28	22.79	0.013599372
11	26.167	18.88	0.013728276
