N	trait_mean	trait_var	age_MY
2	35.815	10.35125	0
1	90.02	0	1.1
1	93.45	0	1.8
82	56.07817073	738.3690892	2.2
8	72.3575	617.21905	4.1
21	59.88142857	852.9237129	4.4
4	42.725	4.4825	5.6
62	43.99538323	367.0883551	6.6
7	62.49571429	760.4003286	7.7
3	41.09333333	1265.147433	7.9
3	67.86666667	1714.364933	8.6
7	69.67857143	1263.052048	9
17	57.31823529	750.9247904	9.5
2	72.045	182.21405	9.8
66	79.1969697	575.7156276	10.8
246	62.85243902	345.1464683	12.6
2	73.2	64.98	12.9
9	59.19555556	459.0166778	13.1
1	90.02	0	14.3
