N	trait_mean	trait_var	year
1	87.9	4.3950000000000005	1940
1	83.4	4.170000000000001	1941
1	91	4.55	1942
1	122.9	6.1450000000000005	1943
1	125.7	6.285	1944
1	93.9	4.695	1945
1	93.9	4.695	1946
1	51.3	2.565	1947
1	63.8	3.19	1948
1	98.1	4.905	1949
1	77.7	3.8850000000000002	1950
1	47.7	2.3850000000000002	1951
1	87.5	4.375	1952
1	112	5.6000000000000005	1953
1	61.8	3.09	1954
1	65.8	3.29	1955
1	62.5	3.125	1956
1	57.8	2.89	1957
1	32.5	1.625	1966
1	44.4	2.22	1967
1	56.1	2.805	1968
1	26.4	1.32	1969
1	35	1.75	1970
1	39	1.9500000000000002	1971
1	44.6	2.23	1972
1	66.7	3.3350000000000004	1973
1	34.5	1.725	1974
1	31.1	1.5550000000000002	1975
1	55	2.75	1976
1	22.7	1.135	1977
1	26.4	1.32	1978
1	34	1.7000000000000002	1979
1	31	1.55	1980
1	31.1	1.5550000000000002	1981
1	25.9	1.295	1982
1	35.8	1.79	1983
1	31.7	1.585	1984
1	26.9	1.345	1985
1	20.5	1.0250000000000001	1986
1	31.7	1.585	1987
1	28.5	1.425	1988
1	47	2.35	1989
1	37.4	1.87	1990
1	27.9	1.395	1991
1	38.8	1.94	1992
1	33.1	1.6550000000000002	1993
1	23	1.1500000000000001	1994
1	38	1.9000000000000001	1995
1	22.3	1.115	1996
1	51.8	2.59	1997
1	33.2	1.6600000000000001	1998
1	22.9	1.145	1999
1	43.6	2.18	2000
1	21.3	1.0650000000000002	2001
1	25.9	1.295	2002
1	28.7	1.435	2003
1	31	1.55	2004
1	43.9	2.195	2005
1	31.4	1.57	2006
1	40.8	2.04	2007
1	37.8	1.89	2008
1	33.9	1.695	2009
1	34.3	1.7149999999999999	2010
1	35.8	1.79	2011
1	48.5	2.4250000000000003	2012
1	30.6	1.5300000000000002	2013
1	34.1	1.705	2014
1	24	1.2000000000000002	2015
1	20.8	1.04	2016
